Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52
Time,Extracellular.Covid,Extracellular.ACE2,Extracellular.ACE2:Covid,Extracellular.SARS_CoV_2,Cell.Covid_transcribed,Cell.ribosome,Cell.Ribosome:Covid,Cell.nsp1,Cell.S,Cell.MDA5,Cell.d_IRF37_p,Cell.early_RNA,Cell.IFN_1,Cell.early_ISG_product,Cell.d_STAT12_p,Cell.IRF9,Cell.ISGF3,Cell.ISG_RNA,Cell.ISG_product,Cell.MDA5:dsRNA,Cell.SARS_CoV_2,Cell.OAS_1_mRNA,Cell.pppa(2'p5'A)n,Cell.RNaseL_act,Cell.RNaseL_inact,Cell.PKR_mRNA,Cell.PKR_act,Cell.EIF2a,Cell.EIF2a_act,Cell.Covid_local,Cell.ribosome:early_RNA,Cell.Ribosome:OAS_1_mRNA,Cell.OAS_1,Cell.Ribosome:PKR_mRNA,Cell.PKR_inac,Cell.Ribosome:ISG_RNA,Cell.nsp8,Cell.nsp9,Cell.nsp16,Cell.dsRNA_frag,Cell.E,Cell.M,Cell.N,Nucelus.d_IRF37_p,Nucelus.Early_ISG_RNA,Nucelus.ISGF3,Nucelus.ISG_RNA,Nucelus.OAS_1_mRNA_nuc,Nucelus.PKR_mRNA_Nuc,BU2.trans1_B,BU2.trans1_U
24.48351671,74.03162639,50,1853.709166,1847.639043,29.41014705,1000,1836.023384,40369.84825,2.81089908,3.496121968e-11,8.932474983e-09,0.001120842884,0.1923697217,0.8780361546,0.008668931022,0.3230024982,0.001515410471,0.0002152158126,2.781672692e-06,1.124638695e-10,1841.821291,0.02388888748,0.0002847831578,9.680279031e-06,0.9997135731,0.02388888748,0.0002754762564,0.9997235092,2.75401036e-07,1859.5631,1.120841864,22.91312128,9.649199286e-06,22.91312128,9.331931217e-06,0.2145868404,40361.40374,40369.84825,40369.84825,3.433388361,2.81089908,2.81089908,2.81089908,1.242779938e-07,1.006885715e-06,0.0005322278676,0.0006295013237,1.000629501,1.000629501,1,1
25.40801955,73.81645275,50,1848.321073,1842.269156,29.32485991,1000,1830.687742,42064.78989,2.810894736,-2.492736434e-11,2.033571787e-09,0.001120830416,0.1923779781,0.8780487264,0.007564410393,0.3218936621,0.001317046082,0.0002156720317,2.671537751e-06,4.646340884e-11,1836.468982,0.02478928585,0.0002839793469,9.681063627e-06,0.9997150074,0.02478928585,0.000274648741,0.9997244604,2.745739095e-07,1854.158386,1.120830023,23.81450256,9.652589265e-06,23.81450256,9.334320455e-06,0.2151264637,42056.3403,42064.78989,42064.78989,3.433651182,2.810894736,2.810894736,2.810894736,3.977795585e-08,3.794816355e-07,0.0004623817904,0.0005460273447,1.000546027,1.000546027,1,1
26.33252238,73.60191518,50,1842.949178,1836.91485,29.23980806,1000,1825.367222,43754.80529,2.810890532,1.404257543e-11,2.534020096e-09,0.001120818367,0.1923859084,0.8780608021,0.006603338932,0.3209284453,0.00114569421,0.0002160683292,2.569673958e-06,2.0223141e-10,1831.13164,0.02568879456,0.0002832653456,9.685049923e-06,0.9997158505,0.02568879456,0.0002739090844,0.9997253032,2.738345991e-07,1848.769681,1.120818169,24.71498166,9.658576042e-06,24.71498166,9.339217149e-06,0.215594553,43746.3508,43754.80529,43754.80529,3.433913278,2.810890532,2.810890532,2.810890532,2.430629717e-08,1.852643831e-07,0.0004020886102,0.0004741754561,1.000474175,1.000474175,1,1
27.25702522,73.38799542,50,1837.592708,1831.576013,29.15499775,1000,1820.062273,45439.90887,2.810886497,1.184734412e-11,1.924975741e-09,0.001120806769,0.1923935382,0.8780724205,0.005766505191,0.3200876229,0.0009974381911,0.0002164128713,2.475208491e-06,1.274026599e-10,1825.809897,0.02658742251,0.0002825979365,9.689780565e-06,0.9997166176,0.02658742251,0.0002732462635,0.9997260569,2.73172088e-07,1843.396575,1.120806654,25.61456927,9.666876954e-06,25.61456927,9.346347352e-06,0.2160010224,45431.44967,45439.90887,45439.90887,3.434174763,2.810886497,2.810886497,2.810886497,1.570435573e-08,1.026157765e-07,0.0003499520029,0.0004121961215,1.000412196,1.000412196,1,1
28.18152805,73.17470031,50,1832.251724,1826.252926,29.07042458,1000,1814.772585,47120.11514,2.810882614,-8.408716871e-12,1.598111109e-10,0.001120795597,0.1924008903,0.8780836163,0.005037401231,0.3193546752,0.0008689867286,0.0002167126399,2.387388668e-06,-2.337185632e-11,1820.503801,0.02748517742,0.0002819961563,9.697327274e-06,0.9997173753,0.02748517742,0.0002726514645,0.9997267327,2.725775667e-07,1838.038761,1.120795548,26.51327456,9.677253423e-06,26.51327456,9.355479763e-06,0.2163543071,47111.6514,47120.11514,47120.11514,3.434435674,2.810882614,2.810882614,2.810882614,3.917844088e-09,3.762862035e-08,0.0003048027876,0.0003586350255,1.000358635,1.000358635,1,1
29.96393815,72.76522982,50,1821.99844,1816.033992,28.90804104,1000,1804.617216,50345.72506,2.81087549,-1.968917412e-11,-5.165997352e-09,0.001120775153,0.1924143545,0.8781041204,0.003884425666,0.3181946598,0.0006672053098,0.0002171858341,2.234467714e-06,-4.640748662e-10,1810.317132,0.02921357871,0.0002810009015,9.717214447e-06,0.9997187651,0.02921357871,0.0002716695316,0.9997278476,2.715960912e-07,1827.752815,1.120775265,28.24348634,9.702378824e-06,28.24348634,9.378022355e-06,0.2169113207,50337.25299,50345.72506,50345.72506,3.434937302,2.81087549,2.81087549,2.81087549,-3.05133965e-08,-1.227897158e-07,0.0002339195725,0.0002747449515,1.000274745,1.000274745,1,1
31.74634825,72.35806541,50,1811.803439,1805.872031,28.74653857,1000,1794.518032,53553.28434,2.810868741,2.671430548e-11,-3.69831777e-09,0.001120755932,0.1924269841,0.8781233544,0.002997887573,0.3173015173,0.0005131725798,0.0002175488798,2.100003908e-06,-2.847310506e-10,1800.186319,0.03093879932,0.0002802480512,9.746408285e-06,0.9997195891,0.03093879932,0.0002708702801,0.9997287499,2.7079721e-07,1817.525035,1.120756048,29.97049421,9.733280533e-06,29.97049421,9.406127792e-06,0.2173381238,53544.80446,53553.28434,53553.28434,3.435437326,2.810868741,2.810868741,2.810868741,-2.611029931e-08,-1.269624058e-07,0.0001798516937,0.0002109336522,1.000210934,1.000210934,1,1
33.52875835,71.95315732,50,1801.665253,1795.76606,28.58593064,1000,1784.475854,56742.89354,2.810862388,1.103854639e-11,7.550145512e-10,0.0011207378,0.1924388799,0.8781414716,0.002315869896,0.3166132782,0.0003953551648,0.0002178275891,1.98094709e-06,1.230429556e-10,1790.111782,0.03266087044,0.0002796563108,9.779850209e-06,0.9997200497,0.03266087044,0.0002702203862,0.9997294814,2.701476146e-07,1807.355089,1.120737803,31.6943343,9.769023462e-06,31.6943343,9.438889892e-06,0.2176654506,56734.40629,56742.89354,56742.89354,3.4359361,2.810862388,2.810862388,2.810862388,1.228558619e-09,-1.250793057e-08,0.000138519672,0.0001622749328,1.000162275,1.000162275,1,1
35.31116845,71.55049043,50,1791.582789,1785.716455,28.42621302,1000,1774.490427,59914.65378,2.810856437,-8.094707009e-12,1.68583028e-09,0.001120720678,0.1924501257,0.8781585995,0.001790857261,0.3160823835,0.0003050830426,0.0002180416864,1.8748417e-06,1.48422073e-10,1780.094387,0.03437981714,0.0002791616993,9.816637981e-06,0.9997205476,0.03437981714,0.0002696935946,0.9997300774,2.696210631e-07,1797.241512,1.120720625,33.41503541,9.808889832e-06,33.41503541,9.475612715e-06,0.2179167202,59906.15957,59914.65378,59914.65378,3.436433913,2.810856437,2.810856437,2.810856437,1.054626237e-08,4.398847675e-08,0.0001068613493,0.0001250711095,1.000125071,1.000125071,1,1
37.09357855,71.15008686,50,1781.556611,1775.723735,28.26736697,1000,1764.560384,63068.66531,2.810850792,6.174916945e-12,-2.609990546e-11,0.001120704459,0.192460792,0.8781748454,0.001386238361,0.3156721849,0.0002357643919,0.0002182063253,1.779725439e-06,-3.779524468e-11,1770.133453,0.03609565995,0.0002787630105,9.858101608e-06,0.9997210857,0.03609565995,0.0002692697817,0.9997305608,2.691974416e-07,1787.183691,1.120704437,35.13262085,9.852326644e-06,35.13262085,9.515759191e-06,0.2181098659,63060.16448,63068.66531,63068.66531,3.436930951,2.810850792,2.810850792,2.810850792,1.447099019e-09,1.362935039e-08,8.255916896e-05,9.654019199e-05,1.00009654,1.00009654,1,1
